Trip_distance,Dropoff_longitude,Fare_amount,Tolls_amount,lpep_pickup_datetime
2.79,-73.92760658264159,13.625,0.0,2016-06-02 17:17:28
2.2684375,-73.92754507064821,12.34375,-1.6653345369377348e-16,2016-06-02 16:52:35
3.985,-73.98617935180664,16.5,0.0,2016-06-02 22:17:36
1.3611111111111107,-73.93518497967959,6.782828282828287,-2.3592239273284576e-16,2016-06-02 23:53:22
9.714,-73.93712921142578,40.45,1.3877787807814454e-17,2016-06-02 10:08:20
1.48,-73.91014289855956,8.75,0.0,2016-06-02 11:59:23
53.24,-73.88147735595702,260.0,0.0,2016-06-02 13:59:26
2.91962962962963,-73.94144397311742,13.018518518518519,-1.249000902703301e-16,2016-06-02 13:59:57
3.159344262295082,-73.94039204081551,13.983606557377053,0.18163934426229503,2016-06-02 11:58:03
1.212222222222222,-73.93295476466051,7.901234567901237,-2.0816681711721683e-16,2016-06-02 13:38:55
5.182884615384617,-73.93434583223781,20.27884615384616,-1.1102230246251563e-16,2016-06-02 20:14:24
15.615333333333332,-73.87869262695312,53.968,3.682666666666668,2016-06-02 18:24:44
8.564166666666667,-73.93561808268228,30.8125,2.7755575615628914e-17,2016-06-02 23:14:14
7.6,-73.86154747009276,23.125,1.3849999999999998,2016-06-02 14:15:51
1.129425287356322,-73.93428521868827,6.408045977011503,-2.220446049250313e-16,2016-06-02 09:39:58
3.9122727272727267,-73.94512783397326,20.352272727272727,0.12590909090909094,2016-06-02 17:38:39
3.8966666666666665,-73.86716969807942,16.0,1.8466666666666665,2016-06-02 08:14:16
1.9603389830508475,-73.94180246126855,9.627118644067796,0.043050847457627016,2016-06-02 11:38:56
2.498,-73.92796478271484,13.1,0.0,2016-06-02 15:03:33
4.6396428571428565,-73.92767633710591,21.303571428571427,0.2857142857142855,2016-06-02 14:35:56
1.0145535714285725,-73.94480330603463,6.2812499999999964,-2.6367796834847473e-16,2016-06-02 19:49:46
3.7939999999999996,-73.94337102716621,18.481818181818184,0.19309090909090898,2016-06-02 16:09:30
1.3196703296703294,-73.92186778980297,6.675824175824182,-2.220446049250313e-16,2016-06-02 21:40:14
1.9702173913043481,-73.92971611022948,9.880434782608694,-2.220446049250313e-16,2016-06-02 19:08:33
1.1605633802816897,-73.92348308294592,6.6239436619718335,-1.8041124150158796e-16,2016-06-02 00:08:52
1.0426241134751788,-73.9429222810353,6.255319148936156,-2.6367796834847473e-16,2016-06-02 18:49:58
6.873235294117648,-73.94817083022174,25.25000000000001,0.8147058823529413,2016-06-02 07:30:20
2.2025,-73.93696626027425,10.868055555555555,0.2308333333333331,2016-06-02 08:17:55
2.5982926829268296,-73.93748092651367,12.835365853658535,-2.0816681711721683e-16,2016-06-02 15:52:52
2.4327272727272726,-73.92987615411931,11.563636363636364,-1.249000902703301e-16,2016-06-02 11:07:15
2.7396551724137934,-73.91601062643117,10.568965517241383,0.1910344827586207,2016-06-02 04:46:34
6.570571428571428,-73.96960100446428,28.614285714285717,0.7914285714285723,2016-06-02 09:31:33
2.715,-73.85221481323242,11.0,0.0,2016-06-02 20:09:03
5.252040816326531,-73.94655033033722,20.285714285714292,0.16326530612244894,2016-06-02 20:38:22
5.866086956521738,-73.92452372675356,19.97826086956521,0.2408695652173913,2016-06-02 01:32:31
1.3909183673469387,-73.93562620513295,7.4897959183673555,-2.3592239273284576e-16,2016-06-02 09:34:45
1.5527848101265824,-73.93858192540422,8.316455696202532,0.07012658227848104,2016-06-02 07:34:42
2.5568354430379747,-73.92802313309681,11.335443037974686,0.1724050632911392,2016-06-02 20:19:44
5.5397435897435905,-73.94430815867888,26.43589743589744,0.14205128205128206,2016-06-02 17:01:40
2.8962745098039218,-73.92889479094859,13.294117647058822,0.10862745098039203,2016-06-02 12:14:35
